Employee_id,Age,Gender,Department,Job_role,Education,Education_field,Marital_status,Attrition,Years_at_company,Business_travel,Daily_pay,Distance_from_home,Environment_satisfaction,Hourly_rate,Job_involvement,Job_level,Job_satisfaction,Monthly_income,Monthly_rate,Num_companies_worked,Over_time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Stock_Option_Level,Total_Working_Years,Training_Times_LastYear,WorkLife_Balance,Years_In_CurrentRole,Years_Since_LastPromotion,Years_With_CurrManager
27,36,Male,Sales,Sales Representative,4,Life Sciences,Single,Yes,5,Travel_Rarely,1218,9,3,82,2,1,1,3407,6986,7,No,23,4,2,80,0,10,4,3,3,0,3
28,34,Female,Research & Development,Research Director,4,Life Sciences,Single,No,12,Travel_Rarely,419,7,1,53,3,3,2,11994,21293,0,No,11,3,3,80,0,13,4,3,6,2,11
30,21,Male,Research & Development,Research Scientist,2,Life Sciences,Single,No,0,Travel_Rarely,391,15,3,96,3,1,4,1232,19281,1,No,14,3,4,80,0,0,6,3,0,0,0
31,34,Male,Research & Development,Research Scientist,1,Medical,Single,Yes,4,Travel_Rarely,699,6,2,83,3,1,1,2960,17102,2,No,11,3,3,80,0,8,2,3,2,1,3
32,53,Female,Research & Development,Manager,3,Other,Divorced,No,14,Travel_Rarely,1282,5,3,58,3,5,3,19094,10735,4,No,11,3,4,80,1,26,3,2,13,4,8
33,32,Female,Research & Development,Research Scientist,1,Life Sciences,Single,Yes,10,Travel_Frequently,1125,16,2,72,1,1,1,3919,4681,1,Yes,22,4,2,80,0,10,5,3,2,6,7
35,42,Male,Sales,Sales Executive,4,Marketing,Married,No,9,Travel_Rarely,691,8,3,48,3,2,2,6825,21173,0,No,11,3,4,80,1,10,2,3,7,4,2
36,44,Female,Research & Development,Healthcare Representative,4,Medical,Married,No,22,Travel_Rarely,477,7,1,42,2,3,4,10248,2094,3,No,14,3,4,80,1,24,4,3,6,5,17
38,46,Female,Sales,Manager,4,Marketing,Single,No,2,Travel_Rarely,705,2,2,83,3,5,1,18947,22822,3,No,12,3,4,80,0,22,2,2,2,2,1
39,33,Male,Research & Development,Laboratory Technician,3,Medical,Single,No,1,Travel_Rarely,924,2,3,78,3,1,4,2496,6670,4,No,11,3,4,80,0,7,3,3,1,0,0
40,44,Male,Research & Development,Healthcare Representative,4,Other,Married,No,4,Travel_Rarely,1459,10,4,41,3,2,4,6465,19121,2,Yes,13,3,4,80,0,9,5,4,2,1,3
41,30,Male,Research & Development,Laboratory Technician,2,Medical,Single,No,10,Travel_Rarely,125,9,4,83,2,1,3,2206,16117,1,No,13,3,1,80,0,10,5,3,0,1,8
42,39,Male,Sales,Sales Representative,3,Technical Degree,Married,Yes,1,Travel_Rarely,895,5,4,56,3,2,4,2086,3335,3,No,14,3,3,80,1,19,6,4,0,0,0
45,24,Male,Research & Development,Research Scientist,3,Medical,Married,Yes,2,Travel_Rarely,813,1,2,61,3,1,4,2293,3020,2,Yes,16,3,1,80,1,6,2,2,0,2,0
46,43,Female,Research & Development,Research Scientist,2,Medical,Divorced,No,5,Travel_Rarely,1273,2,4,72,4,1,3,2645,21923,1,No,12,3,4,80,2,6,3,2,3,1,4
47,50,Male,Sales,Sales Representative,2,Marketing,Married,Yes,3,Travel_Rarely,869,3,1,86,2,1,3,2683,3810,1,Yes,14,3,3,80,0,3,2,3,2,0,2
49,35,Female,Sales,Sales Representative,3,Marketing,Married,No,2,Travel_Rarely,890,2,4,97,3,1,4,2014,9687,1,No,13,3,1,80,0,2,3,3,2,2,2
51,36,Female,Research & Development,Research Scientist,4,Life Sciences,Married,No,1,Travel_Rarely,852,5,2,82,2,1,1,3419,13072,9,Yes,14,3,4,80,1,6,3,4,1,0,0
52,33,Female,Sales,Sales Executive,3,Life Sciences,Married,No,5,Travel_Frequently,1141,1,3,42,4,2,1,5376,3193,2,No,19,3,1,80,2,10,3,3,3,1,3
53,35,Male,Research & Development,Laboratory Technician,2,Other,Divorced,No,1,Travel_Rarely,464,4,3,75,3,1,4,1951,10910,1,No,12,3,3,80,1,1,3,3,0,0,0
54,27,Female,Research & Development,Laboratory Technician,4,Life Sciences,Divorced,No,1,Travel_Rarely,1240,2,4,33,3,1,1,2341,19715,1,No,13,3,4,80,1,1,6,3,0,0,0
55,26,Male,Research & Development,Laboratory Technician,3,Life Sciences,Single,Yes,1,Travel_Rarely,1357,25,1,48,1,1,3,2293,10558,1,No,12,3,3,80,0,1,2,2,0,0,1
56,27,Male,Sales,Sales Executive,3,Life Sciences,Single,No,9,Travel_Frequently,994,8,4,37,3,3,3,8726,2975,1,No,15,3,4,80,0,9,0,3,8,1,7
57,30,Female,Research & Development,Laboratory Technician,2,Medical,Single,No,12,Travel_Frequently,721,1,3,58,3,2,4,4011,10781,1,No,23,4,4,80,0,12,2,3,8,3,7
58,41,Female,Research & Development,Research Director,3,Technical Degree,Married,Yes,22,Travel_Rarely,1360,12,2,49,3,5,3,19545,16280,1,No,12,3,4,80,0,23,0,3,15,15,8
60,34,Male,Sales,Sales Executive,4,Marketing,Single,No,9,Non-Travel,1065,23,2,72,3,2,3,4568,10034,0,No,20,4,3,80,0,10,2,3,5,8,7
61,37,Male,Research & Development,Research Scientist,2,Life Sciences,Married,No,1,Travel_Rarely,408,19,2,73,3,1,2,3022,10227,4,No,21,4,1,80,0,8,1,3,0,0,0
62,46,Male,Sales,Sales Executive,4,Marketing,Single,No,9,Travel_Frequently,1211,5,1,98,3,2,4,5772,20445,4,Yes,21,4,3,80,0,14,4,3,6,0,8
63,35,Male,Research & Development,Laboratory Technician,1,Life Sciences,Married,No,1,Travel_Rarely,1229,8,4,36,4,1,4,2269,4892,1,No,19,3,4,80,0,1,2,3,0,0,1
64,48,Male,Research & Development,Laboratory Technician,2,Life Sciences,Single,Yes,1,Travel_Rarely,626,1,1,98,2,3,3,5381,19294,9,Yes,13,3,4,80,0,23,2,3,0,0,0
65,28,Male,Research & Development,Laboratory Technician,4,Technical Degree,Single,Yes,2,Travel_Rarely,1434,5,3,50,3,1,3,3441,11179,1,Yes,13,3,3,80,0,2,3,2,2,2,2
68,44,Female,Sales,Sales Executive,5,Marketing,Divorced,No,4,Travel_Rarely,1488,1,2,75,3,2,1,5454,4009,5,Yes,21,4,3,80,1,9,2,2,3,1,3
70,35,Male,Research & Development,Healthcare Representative,2,Medical,Married,No,4,Non-Travel,1097,11,3,79,2,3,1,9884,8302,2,Yes,13,3,3,80,1,10,3,3,0,2,3
72,26,Female,Sales,Sales Executive,3,Marketing,Married,No,2,Travel_Rarely,1443,23,3,47,2,2,4,4157,21436,7,Yes,19,3,3,80,1,5,2,2,2,0,0
73,33,Female,Research & Development,Research Director,2,Life Sciences,Single,No,15,Travel_Frequently,515,1,1,98,3,3,4,13458,15146,1,Yes,12,3,3,80,0,15,1,3,14,8,12
74,35,Male,Sales,Sales Executive,5,Life Sciences,Married,No,9,Travel_Frequently,853,18,2,71,3,3,1,9069,11031,1,No,22,4,4,80,1,9,3,2,8,1,8
75,35,Female,Research & Development,Laboratory Technician,4,Medical,Married,No,2,Travel_Rarely,1142,23,3,30,3,1,1,4014,16002,3,Yes,15,3,3,80,1,4,3,3,2,2,2
76,31,Male,Research & Development,Laboratory Technician,4,Life Sciences,Divorced,No,7,Travel_Rarely,655,7,4,48,3,2,4,5915,9528,3,No,22,4,4,80,1,10,3,2,7,1,7
77,37,Male,Research & Development,Manufacturing Director,4,Life Sciences,Divorced,No,7,Travel_Rarely,1115,1,1,51,2,2,3,5993,2689,1,No,18,3,3,80,1,7,2,4,5,0,7
78,32,Male,Research & Development,Manufacturing Director,3,Medical,Married,No,9,Travel_Rarely,427,1,1,33,3,2,4,6162,10877,1,Yes,22,4,2,80,1,9,3,3,8,7,8
79,38,Female,Research & Development,Laboratory Technician,5,Life Sciences,Single,No,10,Travel_Frequently,653,29,4,50,3,2,4,2406,5456,1,No,11,3,4,80,0,10,2,3,3,9,9
80,50,Female,Research & Development,Research Director,2,Medical,Divorced,No,27,Travel_Rarely,989,7,2,43,2,5,3,18740,16701,5,Yes,12,3,4,80,1,29,2,2,3,13,8
81,59,Female,Sales,Sales Executive,3,Life Sciences,Single,No,21,Travel_Rarely,1435,25,1,99,3,3,1,7637,2354,7,No,11,3,4,80,0,28,3,2,16,7,9
83,36,Female,Research & Development,Healthcare Representative,3,Technical Degree,Divorced,No,17,Travel_Rarely,1223,8,3,59,3,3,3,10096,8202,1,No,13,3,2,80,3,17,2,3,14,12,8
84,55,Female,Research & Development,Manager,3,Medical,Divorced,No,5,Travel_Rarely,836,8,4,33,3,4,3,14756,19730,2,Yes,14,3,3,80,3,21,2,3,0,0,2
85,36,Male,Research & Development,Manufacturing Director,3,Life Sciences,Single,No,6,Travel_Frequently,1195,11,2,95,2,2,2,6499,22656,1,No,13,3,3,80,0,6,3,3,5,0,3
86,45,Male,Research & Development,Research Scientist,3,Life Sciences,Divorced,No,1,Travel_Rarely,1339,7,2,59,3,3,1,9724,18787,2,No,17,3,3,80,1,25,2,3,0,0,0
88,35,Male,Research & Development,Research Scientist,3,Medical,Married,No,3,Travel_Frequently,664,1,2,79,3,1,1,2194,5868,4,No,13,3,4,80,1,5,2,2,2,1,2
90,36,Male,Research & Development,Research Scientist,3,Medical,Married,Yes,1,Travel_Rarely,318,9,4,79,2,1,3,3388,21777,0,Yes,17,3,1,80,1,2,0,2,0,0,0
91,59,Female,Sales,Sales Executive,1,Life Sciences,Single,No,4,Travel_Frequently,1225,1,1,57,2,2,3,5473,24668,7,No,11,3,4,80,0,20,2,2,3,1,3
94,29,Male,Research & Development,Research Scientist,3,Life Sciences,Married,No,5,Travel_Rarely,1328,2,3,76,3,1,2,2703,4956,0,No,23,4,4,80,1,6,3,3,4,0,4
95,31,Male,Research & Development,Research Scientist,4,Medical,Single,No,1,Travel_Rarely,1082,1,3,87,3,1,2,2501,18775,1,No,17,3,2,80,0,1,4,3,1,1,0
96,32,Male,Research & Development,Research Scientist,3,Life Sciences,Married,No,10,Travel_Rarely,548,1,2,66,3,2,2,6220,7346,1,No,17,3,2,80,2,10,3,3,4,0,9
97,36,Female,Research & Development,Laboratory Technician,3,Life Sciences,Married,No,1,Travel_Rarely,132,6,2,55,4,1,4,3038,22002,3,No,12,3,2,80,0,5,3,3,0,0,0
98,31,Female,Research & Development,Manufacturing Director,4,Life Sciences,Single,No,11,Travel_Rarely,746,8,3,61,3,2,4,4424,20682,1,No,23,4,4,80,0,11,2,3,7,1,8
100,35,Male,Sales,Sales Executive,4,Marketing,Single,No,15,Travel_Rarely,776,1,3,32,2,2,1,4312,23016,0,No,14,3,2,80,0,16,2,3,13,2,8
101,45,Male,Research & Development,Research Director,4,Other,Married,No,0,Travel_Rarely,193,6,4,52,3,3,1,13245,15067,4,Yes,14,3,2,80,0,17,3,4,0,0,0
102,37,Male,Research & Development,Research Director,4,Medical,Single,No,5,Travel_Rarely,397,7,1,30,3,3,3,13664,25258,4,No,13,3,1,80,0,16,3,4,2,0,2
103,46,Male,Human Resources,Human Resources,2,Medical,Divorced,No,4,Travel_Rarely,945,5,2,80,3,2,2,5021,10425,8,Yes,22,4,4,80,1,16,2,3,2,0,2
104,30,Male,Research & Development,Laboratory Technician,1,Life Sciences,Married,No,10,Travel_Rarely,852,1,4,55,2,2,4,5126,15998,1,Yes,12,3,3,80,2,10,1,2,8,3,0
105,35,Male,Research & Development,Research Scientist,3,Medical,Single,No,6,Travel_Rarely,1214,1,2,30,2,1,3,2859,26278,1,No,18,3,1,80,0,6,3,3,4,0,4
106,55,Male,Sales,Sales Executive,2,Life Sciences,Married,No,1,Travel_Rarely,111,1,1,70,3,3,4,10239,18092,3,No,14,3,4,80,1,24,4,3,0,1,0
107,38,Female,Research & Development,Research Scientist,3,Medical,Divorced,No,13,Non-Travel,573,6,2,79,1,2,4,5329,15717,7,Yes,12,3,4,80,3,17,3,3,11,1,9
110,34,Male,Research & Development,Manufacturing Director,2,Medical,Married,No,5,Travel_Rarely,1153,1,1,94,3,2,2,4325,17736,1,No,15,3,3,80,0,5,2,3,2,1,3
112,56,Male,Research & Development,Manufacturing Director,3,Life Sciences,Single,No,6,Travel_Rarely,1400,7,4,49,1,3,4,7260,21698,4,No,11,3,1,80,0,37,3,2,4,0,2
113,23,Male,Sales,Sales Representative,1,Technical Degree,Divorced,No,0,Travel_Rarely,541,2,3,62,3,1,1,2322,9518,3,No,13,3,3,80,1,3,3,3,0,0,0
116,51,Male,Research & Development,Laboratory Technician,4,Life Sciences,Married,No,4,Travel_Rarely,432,9,4,96,3,1,4,2075,18725,3,No,23,4,2,80,2,10,4,3,2,0,3
117,30,Male,Research & Development,Healthcare Representative,3,Life Sciences,Married,No,11,Travel_Rarely,288,2,3,99,2,2,4,4152,15830,1,No,19,3,1,80,3,11,3,3,10,10,8
118,46,Male,Sales,Sales Executive,2,Medical,Single,Yes,9,Travel_Rarely,669,9,3,64,2,3,4,9619,13596,1,No,16,3,4,80,0,9,3,3,8,4,7
119,40,Male,Research & Development,Healthcare Representative,4,Life Sciences,Married,No,22,Travel_Frequently,530,1,3,78,2,4,2,13503,14115,1,No,22,4,4,80,1,22,3,2,3,11,11
120,51,Male,Sales,Sales Executive,4,Marketing,Single,No,10,Travel_Rarely,632,21,3,71,3,2,4,5441,8423,0,Yes,22,4,4,80,0,11,2,1,7,1,0
121,30,Female,Sales,Sales Executive,2,Medical,Divorced,No,11,Travel_Rarely,1334,4,3,63,2,2,2,5209,19760,1,Yes,12,3,2,80,3,11,4,2,8,2,7
124,46,Male,Research & Development,Healthcare Representative,3,Medical,Married,No,10,Travel_Frequently,638,1,3,40,2,3,1,10673,3142,2,Yes,13,3,3,80,1,21,5,2,9,9,5
125,32,Male,Sales,Sales Executive,4,Medical,Single,No,11,Travel_Rarely,1093,6,2,87,3,2,3,5010,24301,1,No,16,3,1,80,0,12,0,3,8,5,7
126,54,Female,Research & Development,Research Director,4,Technical Degree,Married,No,4,Travel_Rarely,1217,2,1,60,3,3,3,13549,24001,9,No,12,3,1,80,1,16,5,1,3,0,3
128,24,Female,Sales,Sales Executive,2,Other,Married,No,3,Travel_Rarely,1353,3,1,33,3,2,3,4999,17519,0,No,21,4,1,80,1,4,2,2,2,0,2
129,28,Male,Sales,Sales Executive,3,Medical,Married,No,5,Non-Travel,120,4,2,43,3,2,3,4221,8863,1,No,15,3,2,80,0,5,3,4,4,0,4
131,58,Male,Sales,Sales Executive,4,Medical,Single,No,37,Travel_Rarely,682,10,4,37,3,4,3,13872,24409,0,No,13,3,3,80,0,38,1,2,10,1,8
132,44,Male,Research & Development,Laboratory Technician,3,Medical,Married,No,3,Non-Travel,489,23,2,67,3,2,2,2042,25043,4,No,12,3,3,80,1,17,3,4,2,1,2
133,37,Male,Human Resources,Human Resources,4,Human Resources,Divorced,Yes,3,Travel_Rarely,807,6,3,63,3,1,1,2073,23648,4,Yes,22,4,4,80,0,7,3,3,2,0,2
134,32,Male,Research & Development,Research Scientist,1,Life Sciences,Single,No,1,Travel_Rarely,827,1,4,71,3,1,1,2956,15178,1,No,13,3,4,80,0,1,2,3,0,0,0
137,20,Female,Research & Development,Laboratory Technician,3,Life Sciences,Single,Yes,1,Travel_Frequently,871,6,4,66,2,1,4,2926,19783,1,Yes,18,3,2,80,0,1,5,3,0,1,0
138,34,Female,Research & Development,Research Scientist,4,Other,Single,No,16,Travel_Rarely,665,6,1,41,3,2,3,4809,12482,1,No,14,3,3,80,0,16,3,3,13,2,10
139,37,Male,Research & Development,Healthcare Representative,2,Life Sciences,Divorced,No,1,Non-Travel,1040,2,3,100,2,2,4,5163,15850,5,No,14,3,4,80,1,17,2,4,0,0,0
140,59,Female,Human Resources,Manager,4,Human Resources,Married,No,3,Non-Travel,1420,2,3,32,2,5,4,18844,21922,9,No,21,4,4,80,1,30,3,3,2,2,2
141,50,Female,Research & Development,Research Director,3,Life Sciences,Married,No,8,Travel_Frequently,1115,1,1,73,3,5,2,18172,9755,3,Yes,19,3,1,80,0,28,1,2,3,0,7
142,25,Male,Sales,Sales Executive,3,Marketing,Single,Yes,6,Travel_Rarely,240,5,3,46,2,2,3,5744,26959,1,Yes,11,3,4,80,0,6,1,3,4,0,3
143,25,Male,Research & Development,Research Scientist,1,Medical,Married,No,2,Travel_Rarely,1280,7,4,64,2,1,4,2889,26897,1,No,11,3,3,80,2,2,2,3,2,2,1
144,22,Female,Research & Development,Laboratory Technician,3,Medical,Single,No,0,Travel_Rarely,534,15,2,59,3,1,4,2871,23785,1,No,15,3,3,80,0,1,5,3,0,0,0
145,51,Female,Research & Development,Healthcare Representative,4,Medical,Single,No,13,Travel_Frequently,1456,1,1,30,2,3,1,7484,25796,3,No,20,4,3,80,0,23,1,2,12,12,8
147,34,Male,Research & Development,Laboratory Technician,3,Life Sciences,Single,Yes,9,Travel_Frequently,658,7,1,66,1,2,3,6074,22887,1,Yes,24,4,4,80,0,9,3,3,7,0,6
148,54,Female,Human Resources,Manager,3,Human Resources,Single,No,5,Non-Travel,142,26,4,30,4,4,4,17328,13871,2,Yes,12,3,3,80,0,23,3,3,3,4,4
150,24,Male,Research & Development,Laboratory Technician,1,Life Sciences,Married,No,5,Travel_Rarely,1127,18,2,52,3,1,3,2774,13257,0,No,12,3,3,80,1,6,2,3,3,1,2
151,34,Female,Research & Development,Research Scientist,4,Life Sciences,Divorced,No,1,Travel_Rarely,1031,6,3,45,2,2,2,4505,15000,6,No,15,3,3,80,1,12,3,3,0,0,0
152,37,Male,Sales,Sales Executive,3,Life Sciences,Single,No,5,Travel_Rarely,1189,3,3,87,3,3,4,7428,14506,2,No,12,3,1,80,0,12,3,3,3,1,3
153,34,Female,Research & Development,Manager,3,Medical,Single,No,11,Travel_Rarely,1354,5,3,45,2,3,1,11631,5615,2,No,12,3,4,80,0,14,6,3,10,5,8
154,36,Female,Sales,Sales Executive,2,Technical Degree,Married,No,9,Travel_Frequently,1467,11,2,92,3,3,4,9738,22952,0,No,14,3,3,80,1,10,6,3,7,2,8
155,36,Female,Research & Development,Laboratory Technician,2,Life Sciences,Divorced,No,1,Travel_Rarely,922,3,1,39,3,1,4,2835,2561,5,No,22,4,1,80,1,7,2,3,0,0,0
158,43,Male,Sales,Manager,2,Life Sciences,Married,No,25,Travel_Frequently,394,26,3,92,3,4,4,16959,19494,1,Yes,12,3,4,80,2,25,3,4,12,4,12
159,30,Male,Research & Development,Research Scientist,3,Life Sciences,Divorced,No,10,Travel_Frequently,1312,23,1,96,1,1,3,2613,22310,1,No,25,4,3,80,3,10,2,2,7,0,9
160,33,Male,Sales,Sales Executive,2,Marketing,Married,No,7,Non-Travel,750,22,3,95,3,2,2,6146,15480,0,No,13,3,1,80,1,8,2,4,7,0,7
161,56,Female,Research & Development,Research Scientist,4,Life Sciences,Married,Yes,5,Travel_Rarely,441,14,2,72,3,1,2,4963,4510,9,Yes,18,3,1,80,3,7,2,3,4,4,3
162,51,Male,Research & Development,Research Director,3,Life Sciences,Single,No,20,Travel_Rarely,684,6,1,51,3,5,3,19537,6462,7,No,13,3,3,80,0,23,5,3,18,15,15
163,31,Male,Sales,Sales Executive,4,Life Sciences,Married,Yes,7,Travel_Rarely,249,6,2,76,1,2,3,6172,20739,4,Yes,18,3,2,80,0,12,3,2,7,7,7
164,26,Female,Research & Development,Research Scientist,3,Other,Married,No,5,Travel_Rarely,841,6,3,46,2,1,2,2368,23300,1,No,19,3,3,80,0,5,3,2,4,4,3
165,58,Female,Research & Development,Healthcare Representative,4,Medical,Married,Yes,40,Travel_Rarely,147,23,4,94,3,3,4,10312,3465,1,No,12,3,4,80,1,40,3,2,10,15,6
167,19,Male,Sales,Sales Representative,1,Marketing,Single,Yes,0,Travel_Rarely,528,22,4,50,3,1,3,1675,26820,1,Yes,19,3,4,80,0,0,2,2,0,0,0
169,22,Male,Research & Development,Laboratory Technician,1,Technical Degree,Married,No,2,Travel_Rarely,594,2,3,100,3,1,4,2523,19299,0,No,14,3,3,80,1,3,2,3,1,2,1
170,49,Female,Research & Development,Manufacturing Director,4,Medical,Married,No,15,Travel_Rarely,470,20,3,96,3,2,1,6567,5549,1,No,14,3,3,80,0,16,2,2,11,5,11
171,43,Female,Research & Development,Research Scientist,3,Medical,Single,No,3,Travel_Frequently,957,28,2,72,4,1,3,4739,16090,4,No,12,3,4,80,0,18,2,3,2,1,2
174,50,Female,Sales,Sales Executive,3,Marketing,Single,No,2,Travel_Frequently,809,12,3,77,3,3,4,9208,6645,4,No,11,3,4,80,0,16,3,3,2,2,1
175,31,Female,Sales,Sales Executive,3,Life Sciences,Married,Yes,2,Travel_Rarely,542,20,2,71,1,2,3,4559,24788,3,Yes,11,3,3,80,1,4,2,3,2,2,2
176,41,Male,Sales,Sales Executive,1,Life Sciences,Divorced,No,9,Travel_Rarely,802,9,3,96,3,3,3,8189,21196,3,Yes,13,3,3,80,1,12,2,3,7,0,7
177,26,Female,Human Resources,Human Resources,1,Life Sciences,Married,No,8,Travel_Rarely,1355,25,3,61,3,1,3,2942,8916,1,No,23,4,4,80,1,8,3,3,7,5,7
178,36,Male,Research & Development,Manufacturing Director,2,Medical,Divorced,No,3,Travel_Rarely,216,6,2,84,3,2,2,4941,2819,6,No,20,4,4,80,2,7,0,3,2,0,1
179,51,Male,Research & Development,Manufacturing Director,4,Life Sciences,Single,Yes,4,Travel_Frequently,1150,8,1,53,1,3,4,10650,25150,2,No,15,3,4,80,0,18,2,3,2,0,3
182,39,Female,Sales,Sales Executive,4,Life Sciences,Married,No,15,Travel_Rarely,1329,4,4,47,2,2,3,5902,14590,4,No,14,3,3,80,1,17,1,4,11,5,9
183,25,Male,Sales,Sales Executive,3,Life Sciences,Married,No,2,Travel_Rarely,959,28,1,41,2,2,3,8639,24835,2,No,18,3,4,80,0,6,3,3,2,2,2
184,30,Male,Human Resources,Human Resources,3,Human Resources,Married,No,11,Travel_Rarely,1240,9,3,48,3,2,4,6347,13982,0,Yes,19,3,4,80,0,12,2,1,9,4,7
190,32,Female,Research & Development,Laboratory Technician,3,Medical,Single,Yes,5,Travel_Rarely,1033,9,1,41,3,1,1,4200,10224,7,No,22,4,1,80,0,10,2,4,4,0,4
192,45,Male,Research & Development,Research Scientist,3,Medical,Single,No,6,Travel_Rarely,1316,29,3,83,3,1,4,3452,9752,5,No,13,3,2,80,0,9,2,2,5,0,3
193,38,Female,Research & Development,Research Scientist,5,Technical Degree,Single,No,3,Travel_Rarely,364,3,4,32,3,2,3,4317,2302,3,Yes,20,4,2,80,0,19,2,3,2,2,2
194,30,Female,Research & Development,Research Scientist,3,Life Sciences,Single,No,5,Travel_Rarely,438,18,1,75,3,1,3,2632,23910,1,No,14,3,3,80,0,5,4,2,4,0,4
195,32,Male,Sales,Sales Executive,2,Medical,Divorced,No,8,Travel_Frequently,689,9,4,35,1,2,4,4668,22812,0,No,17,3,4,80,3,9,2,4,7,0,7
197,30,Female,Research & Development,Research Scientist,3,Technical Degree,Divorced,No,3,Travel_Rarely,201,5,4,84,3,1,1,3204,10415,5,No,14,3,4,80,1,8,3,3,2,2,2
198,30,Male,Research & Development,Laboratory Technician,1,Medical,Single,No,5,Travel_Rarely,1427,2,2,35,2,1,4,2720,11162,0,No,13,3,4,80,0,6,3,3,3,1,2
